name,nation,score,peoples,date
海市蜃楼,西班牙,7.8,124759,2018-11-30
尼罗河上的惨案,英国,8.3,11992,2004-04-12
特殊案件专案组TEN2,韩国,8.2,7849,2013-04-14
法医秦明2清道夫,中国大陆,5.6,8588,2018-06-15
怒,多伦多电影节,7.7,63706,2016-09-10
推理笔记,中国大陆,4.4,5934,2017-11-24
盛夏的方程式,日本,7.4,23017,2013-06-29
玫瑰之名 第一季,意大利,8.1,229,2019-03-04
铁证悬案：真实之门,日本,8.3,2908,2016-10-22
大侦探波洛 第一季,,9.2,3669,1989-01-08
刑事侦缉档案2,香港,8.4,17302,1995-12-11
摩斯探长前传 第五季,英国,9.3,3169,2018-02-04
爱的成人式,日本,7.6,29097,2015-05-23
刑警弓神,日本,8.3,7587,2017-10-12
千谎百计  第二季,美国,8.4,47257,2009-09-28
推理要在晚餐后,日本,6.9,15089,2011-10-18
帷幕：波洛的最后一案,英国,9.1,1155,2013-11-13
心脏信号2,韩国,7.8,16826,2018-03-16
青春警事,中国大陆,6.4,3750,2018-07-02
绝叫,日本,8.1,448,2019-03-24
暗之伴走者,日本,8.5,5994,2015-04-11
通天塔,韩国,7.1,1488,2019-01-27
神探夏洛克(试播集),英国,8.8,19412,2010-08-30
罪途2之救赎代价,中国大陆,6.7,8185,2018-05-15
黑色皮革手册,日本,8.4,15059,2004-10-14
绝对零度2018,日本,7.2,2455,2018-07-09
神断狄仁杰,中国大陆,7.8,5829,2010-07-23
魔角侦探,中国大陆,9.3,1806,2010-12-03
洗冤录,香港,7.9,19801,1999-12-20
重明卫：大明机密,中国大陆,6.9,1179,2018-12-11
天才：游戏的法则,韩国,9.3,2792,2013-04-26
圈套,日本,8.6,16977,2000-07-07
福尔摩斯：基本演绎法 第五季,美国,8.8,6501,2016-10-02
冤罪律师,日本,6.0,982,2019-01-19
鲁邦三世VS名侦探柯南 剧场版,日本,7.5,12365,2013-12-07
古灵精探B,香港,7.4,14369,2009-08-18
阿加莎与谋杀的真谛,英国,6.1,1036,2018-12-23
鉴证实录 II,香港,8.2,21971,1999-01-04
名侦探柯南：江户川柯南失踪事件 史上最惨的两天,日本,6.9,12063,2014-12-26
老大,日本,8.6,38361,2009-04-16
弹丸论破：希望的学园和绝望高中生,日本,7.2,11595,2013-07-04
摩斯探长前传 第四季,英国,9.2,3464,2017-01-08
犯罪现场2,,9.4,2617,2015-04-01
火车,韩国,6.9,9780,2012-03-08
委托人,韩国,7.3,12576,2011-09-29
侦探2,韩国,6.5,4135,2018-06-13
千谎百计  第三季,美国,8.0,22490,2010-10-04
开封府,中国大陆,6.6,6961,2017-07-17
十二怒汉,美国,9.4,8422,1954-09-20
樱子小姐的脚下埋着尸体,日本,7.4,5254,2015-10-07
福尔摩斯历险记,英国,9.5,7959,1984-04-24
神探伽利略XX 内海薰最后的案件 愚弄,,8.1,15414,2013-06-22
丑闻专门律师,日本,6.0,1803,2019-01-10
神探夏洛克：福至如归,英国,9.0,17256,2013-12-24
鲁邦三世VS名侦探柯南,,7.3,20106,2009-03-27
罪途3之正义规则,中国大陆,6.7,8114,2018-05-18
魔王,日本,8.1,16138,2008-07-04
疑犯追踪 第三季,美国,9.5,29184,2013-09-24
金田一少年事件簿1,日本,8.9,9990,1995-07-15
C+侦探,香港,6.6,23429,2007-09-25
砂之器,日本,6.1,403,2019-03-28
逻辑的乐趣,,7.9,821,2013-12-03
美丽的秋天村庄Michuli,韩国,8.3,1061,2018-11-16
ABC谋杀案,英国,8.2,3072,1992-01-05
重案六组3,中国大陆,7.9,4215,2009-07-06
福尔摩斯归来记,英国,9.6,2414,1986-07-09
马普尔小姐探案 第三季,加拿大,8.7,5468,2007-01-28
犯罪现场,韩国,8.7,2335,2014-05-10
端脑,中国大陆,7.9,3132,2014-11-28
上锁的房间SP,,7.7,9121,2014-01-03
轮到你了,日本,7.7,186,2019-04-14
绅士刑警3,日本,9.3,7670,1999-04-13
锈湖,荷兰,8.7,488,2018-09-20
谋杀 第一季,美国,8.5,12061,2011-04-03
威尔森夫人,英国,8.1,4126,2018-11-27
临床犯罪学者火村英生的推理,日本,6.7,3907,2016-01-17
动物世界,中国大陆,7.2,343355,2018-06-29
唐琅探案,,7.1,2347,2010-10-25
犯罪心理 第二季,美国,9.2,27768,2006-09-20
心理追凶 第一季,英国,8.4,2768,2002-08-20
陈尸谜案,英国,8.4,2464,2013-08-25
盗梦空间,美国,9.3,1103961,2010-07-16
重案六组4,中国大陆,7.7,3595,2011-07-26
犯罪心理 第五季,美国,9.2,21405,2009-09-23
怒晴湘西,中国大陆,7.2,92803,2019-01-21
